OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,SHAPE_LENG,Shape__Area,Shape__Length
1,42,101,037800,1037,421010378001037,Block 1037,G5040, , ,S,0,210126,+39.9683638,-075.1168677,2738.52675532,2117941.8661499,8830.03899570152
2,42,101,038100,1022,421010381001022,Block 1022,G5040, , ,S,507956,0,+40.0083217,-075.0613524,3280.50387116,5454734.61187744,10739.6747093413
3,42,101,980900,1011,421019809001011,Block 1011,G5040, , ,S,39379,0,+39.9353412,-075.2027860,1606.90358009,420203.21685791,5357.2224174872
4,42,101,980800,1016,421019808001016,Block 1016,G5040, , ,S,541634,0,+39.9680806,-075.2559955,3504.61558293,5872710.17163086,11488.5452971377
5,42,101,980800,1031,421019808001031,Block 1031,G5040, , ,S,146704,0,+39.9675721,-075.2637754,2012.60825715,1593285.19250488,6652.31619286621
6,42,101,989100,1010,421019891001010,Block 1010,G5040, , ,S,214671,0,+40.0373205,-075.0177380,2284.35782816,2310417.71228027,7498.18855819685
7,42,101,980000,1053,421019800001053,Block 1053,G5040, , ,S,195509,343627,+39.9864651,-075.1876339,2869.74923878,5802921.28759766,9418.40637319286
8,42,101,014100,1027,421010141001027,Block 1027,G5040, , ,S,24174,0,+39.9688106,-075.1472315,847.2608197,260012.191467285,2780.37064449839
9,42,101,034600,1016,421010346001016,Block 1016,G5040, , ,S,720121,0,+40.0708324,-075.0207260,3873.60370939,7689366.8145752,12665.7932833965
10,42,101,980000,1164,421019800001164,Block 1164,G5040, , ,S,52478,0,+39.9694153,-075.1927793,2977.09976682,600153.57019043,9791.71610513743
11,42,101,036900,2011,421010369002011,Block 2011,G5040, , ,S,133422,0,+39.9465335,-075.1942106,2027.78759523,1187284.47375488,6529.04346182156
12,42,101,017000,1024,421010170001024,Block 1024,G5040, , ,S,15608,0,+40.0013815,-075.1906435,1620.6262116,171116.857299805,5366.4478232018
13,42,101,017000,1005,421010170001005,Block 1005,G5040, , ,S,212864,0,+40.0033431,-075.1889945,2136.28836916,2291199.47070313,7011.75245684614
14,42,101,980100,1047,421019801001047,Block 1047,G5040, , ,S,158619,0,+40.0268575,-075.1907882,2548.05123064,1571720.38189697,8648.48838485064
15,42,101,980000,1181,421019800001181,Block 1181,G5040, , ,S,30112,0,+39.9734918,-075.1936055,2890.89479019,325681.90234375,9526.54765513109
16,42,101,980000,1056,421019800001056,Block 1056,G5040, , ,S,269852,0,+39.9808862,-075.1933422,2615.70417026,2582935.26177979,8306.54146559754
17,42,101,033900,3002,421010339003002,Block 3002,G5040, , ,S,488074,0,+40.0699677,-075.0899193,2818.56745555,5273072.01721191,9479.62742223471
18,42,101,980000,1145,421019800001145,Block 1145,G5040, , ,S,0,173691,+39.9726753,-075.1910383,3698.86462081,1535258.23773193,11982.4173214298
19,42,101,980000,1168,421019800001168,Block 1168,G5040, , ,S,190040,0,+39.9671565,-075.1816188,4515.91049912,2046274.4755249,14828.9084728708
20,42,101,980000,1146,421019800001146,Block 1146,G5040, , ,S,0,86468,+39.9688763,-075.1893517,2867.17813124,1165664.49981689,9502.85433167347
21,42,101,038000,1005,421010380001005,Block 1005,G5040, , ,S,251060,0,+40.0032191,-075.0843545,2173.40696594,2860896.14123535,7283.10823172977
22,42,101,980200,1024,421019802001024,Block 1024,G5040, , ,S,286396,0,+40.0695900,-075.0447426,3930.69611802,3088361.63946533,12940.7551095913
23,42,101,980000,1183,421019800001183,Block 1183,G5040, , ,S,30703,0,+39.9652429,-075.1849463,2735.9233551,330728.453369141,9009.11097581767
24,42,101,017000,1025,421010170001025,Block 1025,G5040, , ,S,0,50400,+40.0029973,-075.1912437,1669.05138169,514326.312011719,5605.91662359325
25,42,101,980900,1235,421019809001235,Block 1235,G5040, , ,S,99067,0,+39.9351262,-075.2128715,1405.45619235,1066933.01983643,4613.67924683796
26,42,101,038000,1007,421010380001007,Block 1007,G5040, , ,S,115427,0,+40.0032917,-075.0872905,2032.42749261,1084439.82000732,6598.64424410492
27,42,101,980300,1028,421019803001028,Block 1028,G5040, , ,S,3485923,1717,+40.0812065,-075.0106977,8267.58959019,37522044.7581787,27133.2689174173
28,42,101,025600,3001,421010256003001,Block 3001,G5040, , ,S,86965,1133,+40.0694470,-075.1907962,2474.56054988,1015480.06524658,8177.37567268127
29,42,101,989100,1009,421019891001009,Block 1009,G5040, , ,S,46661,0,+40.0357424,-075.0174297,1891.8967003,503537.816955566,6209.11875799906
30,42,101,980900,1004,421019809001004,Block 1004,G5040, , ,S,27846,0,+39.9367603,-075.1997888,1544.63332603,300780.015380859,5105.77768375804
31,42,101,014100,1026,421010141001026,Block 1026,G5040, , ,S,23081,0,+39.9689177,-075.1480194,811.53770489,248526.745483398,2663.35107817652
32,42,101,980800,1019,421019808001019,Block 1019,G5040, , ,S,123020,0,+39.9717980,-075.2583900,2306.99168228,1365046.45324707,7587.96791611338
33,42,101,980000,1166,421019800001166,Block 1166,G5040, , ,S,18067,0,+39.9736149,-075.1939515,2846.75591836,195463.810791016,9373.04300947911
34,42,101,980800,1017,421019808001017,Block 1017,G5040, , ,S,0,13744,+39.9718097,-075.2573658,4885.53819645,77883.5893554688,8585.10026960132
35,42,101,013900,3000,421010139003000,Block 3000,G5040, , ,S,193917,0,+39.9737568,-075.1727926,2167.52273109,2091764.01013184,7160.44694856052
36,42,101,029200,2019,421010292002019,Block 2019,G5040, , ,S,592478,998,+40.0249561,-075.1021580,3648.8343323,6084813.68060303,11782.4691561871
37,42,101,980900,1020,421019809001020,Block 1020,G5040, , ,S,41600,0,+39.9346276,-075.2046321,1405.11559818,431453.645080566,4531.61742217726
38,42,101,027902,2010,421010279022010,Block 2010,G5040, , ,S,362955,0,+40.0355712,-075.1527247,2475.20024856,3906460.65039063,8123.93021732311
39,42,101,980900,1110,421019809001110,Block 1110,G5040, , ,S,10594,0,+39.8934257,-075.2299039,895.48897551,123972.377441406,3079.45110183812
40,42,101,003600,2011,421010036002011,Block 2011,G5040, , ,S,19243,0,+39.9299470,-075.1968253,671.65089844,215633.265930176,2236.39265528188
41,42,101,003300,6009,421010033006009,Block 6009,G5040, , ,S,6176,0,+39.9344707,-075.1945292,364.21625545,66469.7579345703,1195.38098900119
42,42,101,003600,4016,421010036004016,Block 4016,G5040, , ,S,5873,0,+39.9304759,-075.1927056,359.68616647,63217.7188720703,1180.43906951824
43,42,101,003600,1008,421010036001008,Block 1008,G5040, , ,S,9517,0,+39.9291922,-075.1925722,415.18853981,102334.194396973,1361.90413250659
44,42,101,003600,3005,421010036003005,Block 3005,G5040, , ,S,7193,0,+39.9271830,-075.1934172,376.08546599,77457.2302856445,1234.70367481595
45,42,101,980900,1099,421019809001099,Block 1099,G5040, , ,S,4967,0,+39.9004669,-075.2389496,721.7917205,53386.892578125,2369.59085254381
46,42,101,005400,1017,421010054001017,Block 1017,G5040, , ,S,44792,0,+39.8820880,-075.2595178,1186.97740247,150314.371337891,2275.72360727979
47,42,101,005400,1006,421010054001006,Block 1006,G5040, , ,S,874527,11552,+39.8904539,-075.2513923,7396.87889714,9319321.87902832,24366.2002476083
48,42,101,006400,3026,421010064003026,Block 3026,G5040, , ,S,9682,0,+39.9229912,-075.2463048,707.01044915,114422.451721191,2561.16426791288
49,42,101,006500,2003,421010065002003,Block 2003,G5040, , ,S,342967,0,+39.9317204,-075.2369832,2840.4106008,3768564.35253906,9287.77892795972
50,42,101,006400,1006,421010064001006,Block 1006,G5040, , ,S,6593,0,+39.9279187,-075.2382458,376.51500748,70963.0752563477,1235.85515009559
51,42,101,006400,1009,421010064001009,Block 1009,G5040, , ,S,6692,0,+39.9269124,-075.2371400,382.67035846,72102.7457275391,1255.8518015062
52,42,101,006300,3000,421010063003000,Block 3000,G5040, , ,S,14110,0,+39.9240406,-075.2385935,511.16233748,151970.790039063,1677.78526781502
53,42,101,006400,3016,421010064003016,Block 3016,G5040, , ,S,7469,0,+39.9248724,-075.2388726,347.74516172,80274.8433227539,1140.61252841142
54,42,101,980900,1193,421019809001193,Block 1193,G5040, , ,S,50715,0,+39.8813696,-075.2457463,2043.47223127,130264.18939209,6452.98927432657
55,42,101,980900,1230,421019809001230,Block 1230,G5040, , ,S,21471,0,+39.8869078,-075.2430496,1727.89666738,235580.713134766,5761.26900695748
56,42,101,980900,1042,421019809001042,Block 1042,G5040, , ,S,651630,0,+39.9072877,-075.2083018,7452.01621801,7592522.14715576,23219.0801628475
57,42,101,006600,4012,421010066004012,Block 4012,G5040, , ,S,12635,0,+39.9247015,-075.2321584,463.25091748,136113.690124512,1521.02477578949
58,42,101,006600,1010,421010066001010,Block 1010,G5040, , ,S,7357,0,+39.9308369,-075.2263685,450.15774394,62987.047668457,1338.45615350767
59,42,101,980900,1178,421019809001178,Block 1178,G5040, , ,S,23317,0,+39.8857038,-075.2428253,1655.56081341,220834.442199707,5472.57287696745
60,42,101,980900,1142,421019809001142,Block 1142,G5040, , ,S,8957,0,+39.8911743,-075.2213394,923.66559324,96361.443359375,3031.5207450579
61,42,101,980900,1157,421019809001157,Block 1157,G5040, , ,S,0,10181,+39.8920062,-075.2134131,805.23336163,147634.706787109,3511.71078177523
62,42,101,980900,1162,421019809001162,Block 1162,G5040, , ,S,7519,1621,+39.8778800,-075.2135486,780.08063212,105679.837524414,3066.43391387537
63,42,101,006000,1024,421010060001024,Block 1024,G5040, , ,S,4494,0,+39.9053656,-075.2406334,602.06851231,49006.7462768555,2001.73736429074
64,42,101,005400,1000,421010054001000,Block 1000,G5040, , ,S,599898,0,+39.8904961,-075.2571058,10754.7147771,6202323.09472656,36762.4803968333
65,42,101,980900,1127,421019809001127,Block 1127,G5040, , ,S,0,182981,+39.8940275,-075.2001195,4656.03614022,2139383.36584473,15369.7833591475
66,42,101,006000,1011,421010060001011,Block 1011,G5040, , ,S,5770,0,+39.9099551,-075.2418968,515.46293938,62035.7542724609,1691.59425974618
67,42,101,006000,1013,421010060001013,Block 1013,G5040, , ,S,1096,0,+39.9113140,-075.2424361,143.34695932,5880.11840820313,351.822752850023
68,42,101,980900,1091,421019809001091,Block 1091,G5040, , ,S,7508,0,+39.8963581,-075.2376214,957.75301648,80798.890625,3142.98619265951
69,42,101,980900,1216,421019809001216,Block 1216,G5040, , ,S,3369,0,+39.9061526,-075.1930986,399.22805794,36221.0303955078,1310.32801876382
