OBJECTID,GEOID,ACCESS_,Shape__Area,Shape__Length
1,421010378001037,No Access,2117941.94586182,8830.03902289747
2,421010380001005,Low Access,2860589.14849854,7282.79224130494
3,421010381001020,No Access,750008.211975098,4142.25431079047
4,421010036002011,No Access,215909.953063965,2236.22727129615
5,421010036004016,No Access,63214.8240966797,1180.53927831671
6,421010036003005,Low Access,77425.4997558594,1234.36479241652
7,421010064003026,No Access,114926.95324707,2561.51470484454
8,421010065002003,Low Access,3768159.03326416,9286.01390986069
9,421010062003002,Low Access,114922.942443848,1554.20864999856
10,421010062001005,Low Access,146437.311523438,1663.3437400539
11,421010062001004,Low Access,145410.977355957,1663.60516403303
12,421010062002003,Low Access,106350.199523926,1531.49675264912
13,421010061001009,Low Access,102868.688476563,1506.55332098601
14,421010067003005,Low Access,84252.6083374023,1294.22469380607
15,421010061001005,Low Access,201140.051330566,1839.4829642705
16,421010067006011,No Access,47826.987121582,1317.25557278605
17,421010067006004,Low Access,49057.3487548828,1383.77884016546
18,421010067001001,No Access,157867.580688477,1763.92293234598
19,421010036003036,No Access,47481.8025512695,912.488922930159
20,421010064003004,No Access,12343.4541625977,1122.9599072998
21,421010065002010,No Access,207622.879699707,3044.24774223076
22,421010063004020,Low Access,229608.369384766,2400.2647095619
23,421010055001016,Low Access,68213.8862304688,1134.9287569412
24,421010055001013,Low Access,118157.530822754,1662.0440646231
25,421010063004008,Low Access,128014.489562988,1536.11197476438
26,421010067006010,No Access,12494.2740478516,624.878489924963
27,421010067001006,No Access,55297.5892333984,945.105671033914
28,421010067007011,Low Access,108611.563842773,1505.91194025834
29,421010067005005,Low Access,63364.3283081055,1032.39981815554
30,421010067006001,Low Access,104975.992431641,1521.82354238752
31,421010067006006,No Access,153121.991394043,1628.99924127964
32,421010062002001,Low Access,112177.27130127,1544.64368849765
33,421010069001006,No Access,28464.162902832,895.184142422049
34,421010064003028,No Access,232651.526550293,2971.81427677167
35,421010036002000,No Access,241706.235717773,1957.45128198903
36,421010036002005,No Access,113561.115783691,1571.95597704777
37,421010036004006,No Access,76324.6198120117,1219.94669208497
38,421010069001002,Low Access,144941.046325684,2679.32743806768
39,421010062003000,Low Access,113545.998046875,1546.33088613859
40,421010061002000,Low Access,95619.5684814453,1346.94091871045
41,421010067002006,Low Access,94933.3884277344,1351.06261768973
42,421010061002009,Low Access,3893.34588623047,332.986262780465
43,421010067007014,Low Access,75855.6959228516,1315.99722435866
44,421010062002000,Low Access,145784.718017578,1664.8186192854
45,421010055001017,Low Access,5857.86682128906,532.547464472186
46,421010055001002,No Access,2829.72418212891,213.018857318916
47,421010064003008,Low Access,311757.050964355,2917.47969045031
48,421010064003000,No Access,4856.21942138672,320.660042051425
49,421010064003020,Low Access,149342.902648926,2503.77712030666
50,421010064003035,No Access,105492.643493652,1629.97544810027
51,421010069001004,Low Access,63032.5782470703,1032.60138722876
52,421010055001018,No Access,131868.288024902,1606.21153367357
53,421010036004012,No Access,118385.981567383,1546.55700053007
54,421010036004013,No Access,101366.122131348,1352.31363070027
55,421010065002005,Low Access,14182.100769043,863.06934195099
56,421010067007013,Low Access,93277.6542358398,1469.46862464299
57,421010067005004,Low Access,112314.274169922,1543.36102399339
58,421010064003001,No Access,12503.1687011719,567.497540137924
59,421010064003013,No Access,6053.52282714844,395.410436182453
60,421010055001004,No Access,353825.649780273,2718.57594014558
61,421010055001005,Low Access,963058.857299805,4578.57317400854
62,421010055001006,Low Access,72282.2331542969,1147.99420812932
63,421010063004014,Low Access,148016.276550293,1693.24774260559
64,421010063004006,Low Access,113234.429443359,1477.85197303348
65,421010062004006,Low Access,502918.108093262,2899.07195757195
66,421010055001001,No Access,19784.3153686523,1557.90249260359
67,421010064002006,Low Access,74755.4554443359,1148.58009223641
68,421010063004005,No Access,38629.4052124023,1185.66921250222
69,421010063004024,Low Access,46065.2957763672,1262.80415747359
70,421010036004014,No Access,99770.7678833008,1378.64035104199
71,421010063004003,Low Access,134699.034301758,1683.93444454612
72,421010064001003,Low Access,376079.122436523,4411.08993899269
73,421010069001000,No Access,1227355.04193115,9071.95726891055
74,421010062002005,Low Access,145918.935852051,1664.65662523988
75,421010064003019,Low Access,164424.075500488,2589.91877844911
76,421010064003031,No Access,299457.799255371,2263.87153180065
77,421010064002005,Low Access,109861.973449707,1795.78045908243
78,421010067006009,No Access,96157.0111694336,1449.64300846233
79,421010067006003,Low Access,99177.1779174805,1408.9314595353
80,421010061002008,Low Access,120940.03112793,1565.32123467647
81,421010061002007,Low Access,153917.505737305,1672.01809079988
82,421010067003004,Low Access,151316.744995117,1620.89795761271
83,421010067006007,No Access,92223.5059204102,1216.39066275174
84,421010067002002,Low Access,48077.9817504883,1263.11220654787
85,421010067002008,Low Access,45663.7907714844,1178.80231019446
86,421010061001002,Low Access,83841.5425415039,1533.19987889245
87,421010067002003,No Access,213508.313659668,1876.95340975291
88,421010067006000,Low Access,113056.453308105,1547.81824556958
89,421010064003006,Low Access,116766.413757324,1962.75792587167
90,421010036004008,Low Access,73299.8885498047,1106.16855347011
91,421010033005009,Low Access,69570.7894287109,1211.0794140813
92,421010033005013,Low Access,69013.7130737305,1206.97845735877
93,421010036001009,Low Access,103997.754394531,1369.64399039963
94,421010064003037,No Access,148405.631347656,1649.22936139078
95,421010063004010,No Access,313141.530944824,2241.74132127878
96,421010063004004,No Access,49664.2426147461,1416.0894451504
97,421010060003006,Low Access,115927.816589355,1557.36583128744
98,421010069001011,Low Access,127309.607299805,1640.20285479642
99,421010069001013,No Access,1124004.44726563,4396.51801121099
100,421010036002012,No Access,234063.086975098,2417.46905942555
101,421010065002011,No Access,34225.4534912109,3352.32043389893
102,421010064003030,No Access,12959.9432983398,564.82619851148
103,421010036004011,No Access,2850.98962402344,728.819022621584
104,421010036002004,No Access,39219.1776733398,1105.4113948128
105,421010067004006,Low Access,54422.5578613281,1241.16729993316
106,421010067006005,Low Access,113047.919799805,1546.51895739765
107,421010036002002,No Access,101220.003540039,1350.22259932069
108,421010036002013,No Access,97544.3366088867,1283.65835034076
109,421010036003006,Low Access,56296.1203613281,1140.6422475751
110,421010063004017,No Access,215972.04486084,2005.56013010836
111,421010069003000,Low Access,158871.219238281,2272.01823843569
112,421010062003001,Low Access,123370.228210449,1583.59520131064
113,421010062002004,Low Access,114027.541015625,1555.59275214287
114,421010069001008,Low Access,64293.6364746094,1004.73559165534
115,421010067001010,No Access,139368.989318848,1694.97472729305
116,421010061002003,Low Access,67313.1633911133,1456.20650653335
117,421010067003007,Low Access,94628.0244140625,1341.11199801933
118,421010061001000,No Access,417400.509338379,3527.7363326569
119,421010067002009,Low Access,120398.869873047,1458.20986843425
120,421010067002010,No Access,245585.52722168,2287.13455536716
121,421010067006008,No Access,58207.4465942383,981.057690465697
122,421010067001002,No Access,364293.997924805,2423.200010937
123,421010067001009,No Access,126506.97845459,1506.93520999966
124,421010036004010,No Access,92409.1954956055,1280.77377692175
125,421010061001004,Low Access,507319.508850098,4670.3444549363
126,421010061002004,Low Access,92323.5951538086,1490.54189520828
127,421010067006002,Low Access,100800.901550293,1473.55932357915
128,421010055001019,No Access,696310.598022461,4473.92841015647
129,421010036002007,No Access,76973.4130859375,1223.65533908739
130,421010036002008,No Access,26816.9656982422,788.717521107433
131,421010064003032,No Access,6082.17779541016,375.319828123724
132,421010063004012,No Access,150113.481018066,1616.05120673561
133,421010062002002,Low Access,105098.351135254,1516.35678186553
134,421010061001010,Low Access,118301.105834961,1555.07644212558
135,421010067001003,No Access,108439.003540039,1587.94515793033
136,421010067005011,Low Access,136752.192871094,1570.42699874666
137,421010064003009,Low Access,165748.594665527,1787.01472182233
138,421010036004004,No Access,101265.052001953,1351.2403240255
139,421010063004019,No Access,63362.584777832,993.767100688345
140,421010064003033,No Access,88244.348815918,1342.69937936381
141,421010063004015,Low Access,174981.203491211,1782.5088610262
142,421010062004007,Low Access,1002777.34985352,4039.79118171505
143,421010055001000,No Access,82379.1483764648,1563.68449651005
144,421010063004011,No Access,125312.83770752,1522.52714354025
145,421010055001012,Low Access,133926.646484375,1775.01108154191
146,421010063004013,No Access,162053.455505371,1647.25270016559
147,421010063004007,Low Access,133742.87890625,1559.15387379954
148,421010055001011,No Access,102793.565917969,1253.95647240195
149,421010063004018,No Access,189291.44519043,1988.1610967625
150,421010063004023,Low Access,35856.1948242188,1242.1140081335
151,421010064003002,Low Access,19439.8296508789,1023.47953514951
152,421010055001020,Low Access,292545.377319336,2961.26916617609
153,421010036003038,No Access,40112.4716186523,846.13179379156
154,421010055001009,No Access,780291.051757813,6182.6501391554
155,421010062001003,Low Access,137139.422119141,1633.41879546004
156,421010061002006,Low Access,101451.959289551,1400.56253671158
157,421010067002007,No Access,117721.63482666,1447.95263892619
158,421010067001004,No Access,69356.751159668,1070.03492329984
159,421010036003037,No Access,66477.7913208008,1262.30447648577
160,421010067007016,Low Access,2729.82611083984,247.495183205255
161,421010069001007,Low Access,89524.0753173828,1239.90314279995
162,421010069001010,No Access,140178.065551758,1678.9500290579
163,421010069001009,Low Access,28189.033203125,905.668841243522
164,421010067001007,No Access,65686.0814819336,1046.99819512709
165,421010036004009,No Access,23835.9081420898,746.526903493957
166,421010036002006,No Access,99980.6982421875,1376.99674588904
167,421010036002015,Low Access,129358.09185791,1493.23715820357
168,421010061001003,Low Access,35092.9108886719,850.376191302855
169,421010064003003,No Access,91170.7291259766,1266.96675365038
170,421010064002007,Low Access,108906.791992188,1411.41844566214
171,421010064002003,Low Access,181138.580627441,1946.62741898011
172,421010064002001,Low Access,104029.841674805,1298.61157659095
173,421010064002000,Low Access,90597.3256225586,1206.20813159062
174,421010067002004,Low Access,82283.3312988281,1314.2362456247
175,421010067002000,Low Access,129974.895080566,1606.3732555238
176,421010067007010,Low Access,207145.609191895,2430.94926493868
177,421010069001005,Low Access,394698.143859863,4947.96597248625
178,421010036002016,Low Access,63753.7650146484,1155.1162717857
179,421010036004015,No Access,68702.1072387695,1204.46058533091
180,421010036003007,Low Access,66756.5366210938,1159.09964570963
181,421010036003008,Low Access,2098.5498046875,219.103503413391
182,421010063004021,No Access,139577.934265137,1597.14822101546
183,421010055001010,No Access,116959.225952148,1335.44666986615
184,421010055001014,Low Access,123529.476013184,1603.06429914388
185,421010063004001,Low Access,359850.992980957,2514.33922598437
186,421010063004009,Low Access,148618.546203613,1686.01132115893
187,421010063004016,Low Access,128023.013122559,1501.48053496128
188,421010061002002,Low Access,101171.934509277,1452.9865819362
189,421010067002001,Low Access,64283.2546386719,1061.59399369595
190,421010067001005,No Access,390356.749694824,3284.25213837504
191,421010069001003,Low Access,155536.723083496,2238.17386451187
192,421010069001014,Low Access,108150.781555176,1550.88832762171
193,421010069001001,No Access,1918353.04418945,7183.04855142653
194,421010036004005,No Access,198507.034118652,1782.21758613575
195,421019809001015,No Access,111023.365112305,4624.35103191708
196,421010061001014,Low Access,53263.1406860352,2225.72661234077
197,421010062001002,Low Access,137030.454345703,1629.74190752197
198,421010067003001,Low Access,150757.881958008,1620.969288212
199,421010061001001,Low Access,171031.230773926,1880.94177572745
200,421010067001008,No Access,60485.2012939453,1013.47031324653
201,421010064002004,Low Access,183721.52545166,1969.25481536826
202,421010064002002,Low Access,281674.927612305,2351.37705090688
203,421010064003021,Low Access,164714.219482422,1770.74637565924
204,421010064003034,No Access,195491.369995117,1932.83496461773
205,421010064003027,No Access,71193.8846435547,4973.16801121333
206,421010064003040,No Access,112378.805175781,1535.54527451181
207,421010036002003,No Access,96903.0846557617,1298.50323802503
208,421010067005003,Low Access,132643.787658691,1677.96230632163
209,421010036002001,No Access,10644.5207519531,597.14793770017
210,421010064003018,Low Access,151575.686279297,1685.72622871205
211,421010063004022,Low Access,131893.770263672,1515.9551859739
212,421010067003006,Low Access,92980.7725830078,1334.67561054981
213,421010063004025,No Access,28998.653503418,754.005140067995
214,421010055001015,Low Access,108856.885681152,1648.9693086758
215,421010055001021,Low Access,71359.5676269531,1143.85644865166
216,421010067002005,Low Access,81898.0846557617,1286.03751874158
217,421010067007015,Low Access,107544.227050781,1423.70995255852
218,421010061002005,Low Access,85872.6306152344,1352.91107240618
219,421010061002001,Low Access,80427.6444091797,1284.7852643579
220,421010067003000,Low Access,96971.0772705078,1417.10280843481
221,421010067007017,Low Access,28988.5932617188,919.127227001967
222,421010067001000,Low Access,839212.990356445,4278.99373040986
223,421010064003025,Low Access,134424.478637695,1555.64069694109
224,421010064003024,No Access,111109.735595703,1573.13581351486
225,421010064003010,Low Access,148975.666381836,1643.0582523956
226,421010064003036,Low Access,96585.0447387695,1245.72658981778
227,421010064003038,No Access,158231.428649902,1828.28656861022
228,421010055001008,Low Access,775049.566223145,4491.44431155615
229,421010036003041,Low Access,40401.499206543,913.565105832472
230,421010036002009,No Access,104555.051147461,1367.18551040179
231,421010036004018,No Access,84365.2135009766,1426.35013956726
232,421010036002014,No Access,101808.604309082,1355.71363156106
233,421010036001010,Low Access,102790.287353516,1353.7418300831
234,421010036003042,Low Access,25525.7401123047,766.125127941543
235,421010036001011,Low Access,96639.8825683594,1321.37275563668
236,421010064003039,No Access,130009.610229492,1598.07659203672
237,421010036002010,No Access,3057.22900390625,260.287899232337
238,421010069003002,Low Access,64354.2449951172,1290.43510700717
239,421010069003001,Low Access,81094.0855102539,1351.08723321087
240,421010100001005,Low Access,134178.675109863,1599.99032623343
241,421010096003005,Low Access,126262.433959961,1595.56737379239
242,421010096005002,Low Access,80110.0762939453,1406.55576408657
243,421010096003003,Low Access,113939.252563477,1553.8049244632
244,421010101004011,Low Access,56260.3320922852,972.16635215956
245,421010101004010,Low Access,52925.7905273438,948.97351422753
246,421010101004009,Low Access,56470.3843994141,973.066776024498
247,421010095004001,Low Access,117661.108642578,1647.22636158148
248,421010096003000,Low Access,102503.30255127,1534.41883158535
249,421010083013005,Low Access,111938.369873047,1544.37363961933
250,421010083012001,Low Access,245255.588623047,2006.18572249804
251,421010083022014,Low Access,157276.70892334,1683.26069357187
252,421010083012003,Low Access,117530.412414551,1541.33055629682
253,421010083012004,Low Access,94771.5030517578,1323.7064142961
254,421010083012009,Low Access,135872.742004395,1609.10983040339
255,421010083023001,Low Access,117984.386169434,1541.93760150027
256,421010083023002,Low Access,85057.9365234375,1425.55097292149
257,421010083023008,Low Access,129096.218383789,1581.86115216944
258,421010082005005,No Access,96594.2855834961,1244.18099526346
259,421010082005000,Low Access,150650.809326172,1657.55074674371
260,421010082001001,Low Access,151549.60345459,1661.54309325663
261,421010083024001,Low Access,108953.203857422,1509.67152887397
262,421010084005004,Low Access,106367.945983887,1499.75628209581
263,421010083024006,Low Access,109695.542419434,1513.25217797069
264,421010100001009,Low Access,94888.3261108398,1458.9247086759
265,421010096003002,Low Access,112139.723327637,1547.51134889608
266,421010096002002,Low Access,118281.905334473,1544.52042794725
267,421010096005005,Low Access,168580.084472656,1722.18754849064
268,421010083013009,No Access,114211.064453125,1551.79922159118
269,421010083011005,No Access,963124.627075195,5226.46050710038
270,421010083013008,No Access,106406.379577637,1524.96381278774
271,421010083022017,Low Access,83639.1616210938,1240.42955421427
272,421010083023000,Low Access,83774.5684814453,1419.64963863765
273,421010083023005,Low Access,90390.010925293,1444.47249896585
274,421010083024004,Low Access,95094.3861083984,1457.8972461733
275,421010100001007,Low Access,41834.2149658203,860.595290827542
276,421010083011006,No Access,43242.1632080078,5230.6120026702
277,421010082005006,Low Access,89156.3002319336,8511.97734038437
278,421010065006007,Low Access,56291.1072998047,5215.43732499208
279,421010096003001,Low Access,111248.020385742,1534.98549788015
280,421010083011001,Low Access,48019.8750610352,910.284247779535
281,421010083013006,No Access,98364.3892822266,1497.21849501866
282,421010083011007,Low Access,163015.317321777,1724.31547855483
283,421010083023006,Low Access,111388.707946777,1517.01191841111
284,421010083023007,Low Access,106817.536621094,1500.42673832207
285,421010083013007,No Access,224875.434875488,1931.89374883343
286,421010083013010,No Access,157396.683532715,1681.54500452372
287,421010082005002,No Access,141565.012329102,1609.32457967512
288,421010083013012,Low Access,162734.122253418,1702.88023776458
289,421010082005001,Low Access,150408.831542969,1657.76110622062
290,421010083011004,Low Access,9893.57489013672,426.444196263281
291,421010096005000,Low Access,157358.55291748,1680.64373172988
292,421010096002004,Low Access,97576.8403320313,1498.11455296108
293,421010083013002,No Access,509170.903930664,4150.79802132501
294,421010100001010,Low Access,80426.70703125,1134.42951138211
295,421010100001011,Low Access,77170.7656860352,1111.24123293663
296,421010096005003,Low Access,81653.1224975586,1411.95401529275
297,421010096003004,Low Access,96733.0601196289,1494.66782092415
298,421010096002001,Low Access,94366.2109375,1458.50816690596
299,421010095003004,Low Access,121752.796508789,1573.03210894556
300,421010083012006,No Access,95396.1119384766,1327.71981761854
301,421010083011011,Low Access,156987.661804199,1682.00433270071
302,421010083022015,Low Access,81842.9090576172,1232.50965904143
303,421010083024005,Low Access,95769.9993896484,1464.90322415448
304,421010096005006,Low Access,168711.82232666,1724.40193616921
305,421010096002003,Low Access,122263.523620605,1583.4162240752
306,421010083011000,Low Access,55862.8322753906,961.543940397968
307,421010095003003,Low Access,106455.837890625,1500.84310984363
308,421010083012005,No Access,72906.516784668,1227.84700592909
309,421010083012008,Low Access,112751.800476074,1526.35860414653
310,421010083013000,Low Access,107207.560791016,1503.2266058832
311,421010083011010,Low Access,157282.583618164,1681.22097960088
312,421010083012002,Low Access,112481.164916992,1522.5081365088
313,421010083023003,Low Access,135034.727294922,1602.46348413744
314,421010083024000,Low Access,109680.216186523,1512.91370049076
315,421010065006005,No Access,301811.646179199,2355.64794681567
316,421010100001006,Low Access,85835.4235839844,1428.03052025045
317,421010083011003,Low Access,165631.306152344,1731.81030101368
318,421010083011002,Low Access,55924.5861816406,959.65426520083
319,421010096005001,Low Access,76741.2133789063,1393.34111937246
320,421010096002005,Low Access,106165.195739746,1528.13654077871
321,421010096002000,Low Access,102487.239746094,1487.157683102
322,421010083012007,Low Access,115025.9453125,1553.76788373859
323,421010083013001,Low Access,111537.157592773,1543.99171015553
324,421010083011012,Low Access,163434.905578613,1725.19277604391
325,421010083024002,Low Access,156846.54107666,1679.3955555273
326,421010082005003,No Access,80706.2388305664,1145.6631547522
327,421010083013011,No Access,157981.332824707,1683.34054593675
328,421010082005007,Low Access,157809.099609375,1682.27799124181
329,421010083022016,Low Access,71207.7997436523,1181.64035092119
330,421010083023004,Low Access,84493.9487915039,1424.69297532436
331,421010083024007,Low Access,110697.426330566,1515.76443626276
332,421010083011008,Low Access,160015.496887207,1712.65252009804
333,421010083011009,Low Access,154218.937988281,1673.13972187999
334,421010095003005,Low Access,46076.8867797852,883.491835693404
335,421010083013004,Low Access,156506.666809082,1678.57377395479
336,421010083012000,Low Access,124267.408081055,1564.31863298409
337,421010065006008,Low Access,941572.290893555,5093.48483175671
338,421010083024003,Low Access,157867.516479492,1684.05515030935
339,421010082005008,Low Access,159212.252990723,1689.15217831118
340,421010081023005,Low Access,107630.366394043,1491.47413428785
341,421010100001000,Low Access,157557.644348145,1684.44212156907
342,421010096005004,Low Access,75288.2452392578,1389.19110669255
343,421010101004000,No Access,131168.96081543,1545.0109185087
344,421010101004007,Low Access,97860.6859130859,1573.19339911741
345,421010101004004,Low Access,157485.005981445,1686.39926286633
346,421010101004001,Low Access,155152.415527344,1677.68431965597
347,421010101004005,Low Access,148266.231262207,1646.84367437932
348,421010101004003,Low Access,81332.4762573242,1141.78727518937
349,421010101004008,Low Access,181676.086364746,1838.83381272814
350,421010101004006,Low Access,164399.131408691,1742.09887731185
351,421010114005002,Low Access,266410.490600586,2618.33122856596
352,421010118004003,Low Access,85885.2658691406,1326.39929010027
353,421010114004005,Low Access,118827.198120117,1515.48684749922
354,421010101003001,Low Access,144249.024108887,1645.27968234398
355,421010101003005,No Access,129994.852233887,1616.01828873019
356,421010114003004,Low Access,126294.536132813,1543.32171123159
357,421010101004002,Low Access,73311.4111938477,1074.5205427519
358,421010375001002,Low Access,434626.638427734,4083.6588000613
359,421010375001009,Low Access,184188.805480957,1813.4881723808
360,421010114005005,Low Access,136667.839477539,1583.28339797738
361,421010118004005,Low Access,9779.09442138672,526.027814178276
362,421010114004004,Low Access,135469.569458008,1577.17170368683
363,421010101007001,No Access,88501.9077148438,1474.89710851018
364,421010101003004,Low Access,147564.289978027,1676.29800164517
365,421010375001011,No Access,492016.168029785,3476.16404550513
366,421010098012003,Low Access,114286.804199219,1438.88719523021
367,421010098012007,No Access,84665.6364746094,1212.9497677004
368,421010098012002,Low Access,208117.180541992,2120.43585035681
369,421010098012008,No Access,103865.843322754,1375.10715400072
370,421010114005000,Low Access,388952.992370605,2855.86783727761
371,421010375001001,Low Access,597654.348571777,4254.35672998778
372,421010375001008,Low Access,260208.509765625,2321.32786212725
373,421010098012005,No Access,153147.610839844,1799.4155014128
374,421010114005001,Low Access,261268.906555176,2613.25993502172
375,421010114004003,Low Access,134928.190612793,1575.49199035243
376,421010114003003,No Access,118303.903320313,1513.79721625922
377,421010101007000,No Access,98462.2481689453,1511.30188242237
378,421010101003000,Low Access,126847.539672852,1586.69013010437
379,421010101001003,Low Access,130129.936828613,1617.15348460556
380,421010101001005,Low Access,138100.905212402,1645.59554578191
381,421010112005006,Low Access,102735.351257324,1524.6321347974
382,421010118004000,Low Access,187372.625854492,1975.54087314484
383,421010101007005,Low Access,104023.794433594,1336.72413863177
384,421010375001010,No Access,421568.599243164,3093.65677336828
385,421010375001000,Low Access,462364.799316406,2870.88954303027
386,421010114005003,No Access,142103.731201172,1621.99449472011
387,421010114003002,Low Access,122998.59564209,1555.32136706592
388,421010101003003,Low Access,148558.585510254,1681.43435485346
