OBJECTID,GEOGRAPHY_NAME,YEAR,GEOGRAPHY,COUNT_ALL_RACES_ETHNICITIES,COUNT_WHITE_NH,COUNT_BLACK_NH,COUNT_ASIAN_NH,COUNT_HISPANIC,PERCENT_WHITE_NH,PERCENT_BLACK_NH,PERCENT_ASIAN_NH,PERCENT_HISPANIC,Shape__Area,Shape__Length
1,42101000100,2010,Census tract,3478,2890,207,173,126,83.09373203,5.95169638,4.97412306,3.62277171,1202256.62109375,4528.07858447924
2,42101000200,2010,Census tract,2937,665,284,1855,79,22.64215186,9.66973102,63.15968676,2.68981954,651654.75,3688.95896471245
3,42101000300,2010,Census tract,3169,2290,324,328,135,72.26254339,10.22404544,10.35026822,4.26001893,931965.453125,5040.14898562576
4,42101000401,2010,Census tract,2125,1049,376,519,107,49.36470588,17.69411765,24.42352941,5.03529412,397807.4609375,2733.4485366791
5,42101000402,2010,Census tract,3142,2455,173,356,109,78.13494589,5.5060471,11.33036283,3.46912794,517424.4375,3547.05489952626
6,42101000500,2010,Census tract,2329,750,870,340,306,32.20266209,37.35508802,14.59854015,13.13868613,730542.48828125,4003.46571785933
7,42101000600,2010,Census tract,1781,1151,253,160,142,64.62661426,14.20550253,8.98371701,7.97304885,294162.078125,3081.85519718307
8,42101000700,2010,Census tract,3082,2112,281,463,142,68.52693056,9.1174562,15.02271252,4.60739779,436441.4765625,4354.05143401093
9,42101000801,2010,Census tract,1562,1219,46,169,90,78.04097311,2.94494238,10.81946223,5.76184379,195652.5546875,1876.82521325263
10,42101000803,2010,Census tract,3601,2891,74,441,122,80.28325465,2.05498473,12.24659817,3.38794779,260353.03515625,2194.6603307206
11,42101000804,2010,Census tract,3609,2835,98,424,179,78.55361596,2.71543364,11.74840676,4.95982267,247799.65625,2119.21558106847
12,42101000901,2010,Census tract,2276,1528,215,348,94,67.13532513,9.44639719,15.28998243,4.13005272,179724.00390625,1726.92486455084
13,42101000902,2010,Census tract,2773,1793,170,639,112,64.65921385,6.13054454,23.04363505,4.03894699,264276.91796875,2285.45366083681
14,42101001001,2010,Census tract,2603,2294,67,130,72,88.12908183,2.57395313,4.99423742,2.76603919,390784.86328125,2942.0811065771
15,42101001002,2010,Census tract,3612,3103,93,220,120,85.90808416,2.57475083,6.09080842,3.32225914,803385.4296875,3636.74589019786
16,42101001101,2010,Census tract,3586,2765,337,227,162,77.10540993,9.39765756,6.33017289,4.51756832,296381.08203125,2191.76409566316
17,42101001102,2010,Census tract,2659,2155,130,186,109,81.04550583,4.88905604,6.99511094,4.09928545,347621.13671875,2400.13942278894
18,42101001201,2010,Census tract,3778,3238,85,222,145,85.70672313,2.24986765,5.87612493,3.83800953,594000.0625,3419.35429229329
19,42101001202,2010,Census tract,5137,4131,283,319,262,80.41658556,5.50905198,6.20985011,5.10025307,525644.83984375,3121.25979558614
20,42101001300,2010,Census tract,4942,2780,1564,243,182,56.25252934,31.64710643,4.91703764,3.68271955,1325227.98046875,4944.65182313082
21,42101001400,2010,Census tract,3950,2386,1023,218,208,60.40506329,25.89873418,5.51898734,5.26582278,537949.4296875,3411.33241374521
22,42101001500,2010,Census tract,2708,1841,451,184,172,67.98375185,16.65435746,6.79468242,6.35155096,407721.23828125,3550.45121685881
23,42101001600,2010,Census tract,2192,1797,107,94,120,81.97992701,4.88138686,4.28832117,5.47445255,334461.875,2613.19667091953
24,42101001700,2010,Census tract,2647,2217,161,97,100,83.75519456,6.08235739,3.66452588,3.77786173,377247.375,3059.97082380483
25,42101001800,2010,Census tract,2873,1959,535,173,133,68.18656457,18.62164984,6.02158023,4.62930734,413018.609375,3598.09768825176
26,42101001900,2010,Census tract,2721,1258,1089,116,194,46.23300257,40.02205072,4.26313855,7.12973172,559207.13671875,3443.02153314813
27,42101002000,2010,Census tract,2092,116,1799,35,70,5.54493308,85.99426386,1.67304015,3.34608031,492808.17578125,2882.53288833786
28,42101002100,2010,Census tract,2036,240,1620,11,108,11.78781925,79.56777996,0.54027505,5.30451866,404494.7578125,2580.85847126334
29,42101002200,2010,Census tract,2281,557,1376,97,175,24.41911442,60.32441911,4.25252082,7.67207365,389460.07421875,2518.89479262825
30,42101002300,2010,Census tract,2682,1737,123,382,376,64.76510067,4.58612975,14.24310216,14.01938852,361622.2734375,2771.14237965207
31,42101002400,2010,Census tract,5129,2878,422,802,912,56.11230259,8.2277247,15.63657633,17.78124391,911770.2734375,4810.55436155404
32,42101002500,2010,Census tract,3769,1815,1316,261,293,48.15600955,34.91642345,6.92491377,7.77394534,678879.6484375,3420.36199145849
33,42101002701,2010,Census tract,3874,1117,852,1002,800,28.83324729,21.99277233,25.86473929,20.65049045,382815.265625,2868.79928583571
34,42101002702,2010,Census tract,3566,3133,125,100,148,87.85754347,3.5053281,2.80426248,4.15030847,625938.94921875,3312.803683579
35,42101002801,2010,Census tract,4324,1282,325,1360,1256,29.64847364,7.51618871,31.45235893,29.04717854,379603.609375,2860.60987392366
36,42101002802,2010,Census tract,5539,3588,72,1059,739,64.77703557,1.29987362,19.11897454,13.34175844,617503.40625,3509.17707016628
37,42101002900,2010,Census tract,4141,3358,102,301,262,81.09152379,2.46317315,7.26877566,6.32697416,630349.109375,3759.95127192938
38,42101003001,2010,Census tract,4664,888,1015,2277,338,19.03945111,21.76243568,48.82075472,7.24699828,385746.25390625,2510.54145619303
39,42101003002,2010,Census tract,3200,533,1980,330,263,16.65625,61.875,10.3125,8.21875,386436.41015625,2512.90141645221
40,42101003100,2010,Census tract,4437,192,3845,190,122,4.32724814,86.65765157,4.28217264,2.74960559,674166.73046875,3296.37047078166
41,42101003200,2010,Census tract,4875,197,4399,44,100,4.04102564,90.23589744,0.9025641,2.05128205,837344.1171875,3661.94559965747
42,42101003300,2010,Census tract,6162,1573,4018,227,197,25.52742616,65.20610191,3.68386887,3.19701396,1972678.9296875,7025.49415472903
43,42101003600,2010,Census tract,6723,1404,3946,904,322,20.88353414,58.6940354,13.44637811,4.78952848,1643001.9375,6485.51821515772
44,42101003701,2010,Census tract,6609,506,4843,838,268,7.65622636,73.27886216,12.67967923,4.05507641,605484.515625,3324.62866269411
