"","TractFIPS","Population2010","ACCESS2_CrudePrev","ARTHRITIS_CrudePrev","BINGE_CrudePrev","BPHIGH_CrudePrev","BPMED_CrudePrev","CANCER_CrudePrev","CASTHMA_CrudePrev","CHD_CrudePrev","CHECKUP_CrudePrev","CHOLSCREEN_CrudePrev","COLON_SCREEN_CrudePrev","COPD_CrudePrev","COREM_CrudePrev","COREW_CrudePrev","CSMOKING_CrudePrev","DENTAL_CrudePrev","DIABETES_CrudePrev","HIGHCHOL_CrudePrev","KIDNEY_CrudePrev","LPA_CrudePrev","MAMMOUSE_CrudePrev","MHLTH_CrudePrev","OBESITY_CrudePrev","PAPTEST_CrudePrev","PHLTH_CrudePrev","SLEEP_CrudePrev","STROKE_CrudePrev","TEETHLOST_CrudePrev","YEAR","COUNT_ALL_RACES_ETHNICITIES","COUNT_WHITE_NH","COUNT_BLACK_NH","COUNT_ASIAN_NH","COUNT_HISPANIC","PERCENT_WHITE_NH","PERCENT_BLACK_NH","PERCENT_ASIAN_NH","PERCENT_HISPANIC","HSI_SCORE","HEI_SCORE","HVI_SCORE","N_VERYHIGH","sumTOTAL_LPSS","avgLPSS_PER1000","sumTOTAL_HPSS","avgHPSS_PER1000","avgPCT_HPSS","avgPCT_VEHICLE_AVAIL","sumTOTAL_RESTAURANTS","avgPCT_POVERTY","sumTOTAL_UNITS","lat","lon","walk_score","transit_score","bike_score","gini","n_hospitals","pct_hosp"
"1","42101000100",3478,5.4,13,33.1,15.6,58.9,3.8,8.8,2.1,65.3,77.6,74.2,2.4,52.5,37.1,13,77.3,3.8,19.9,1.3,13.4,82.7,10.2,20.7,85.7,6.1,33.4,1.1,5.5,2010,3478,2890,207,173,126,83.09373203,5.95169638,4.97412306,3.62277171,0.97682574,-3.31446979,-3.47733422,"0",106,25.171607105,19.5,4.59729346,15.21709541,73.29694261,151,7.06922629,NA,39.9523827604,-75.1466628627,99,100,83,0.406,NA,NA
"2","42101000200",2937,14.8,18.2,16.5,28.8,73,3.6,8.6,5.9,69,71.3,52.4,5.4,34,24.4,23.7,52.5,13.4,30.8,3,31.7,76.9,15.1,23.4,72.5,13.8,42.4,3.3,14.5,2010,2937,665,284,1855,79,22.64215186,9.66973102,63.15968676,2.68981954,6.5206529,-0.71934574,1.65240813,"0",120,44.72605293,17.75,6.61572866,12.88566243,51.78217822,105,37.60750586,NA,39.9553999018,-75.1569774999,99,100,81,0.435,NA,NA
"3","42101000300",3169,6.2,18.2,26.7,21.8,70.6,5.7,9,3.8,69.4,79.2,73.9,3.4,50.5,35.1,12.9,75.3,6.1,25,2,16.1,81.9,10.5,21.4,83.7,7.7,33.6,1.9,6.8,2010,3169,2290,324,328,135,72.26254339,10.22404544,10.35026822,4.26001893,0.3912216,-2.10359515,-1.57646398,"0",182,77.748090325,35.25,14.074330775,16.904494185,55.979566435,60,8.553766535,NA,39.9571058444,-75.1709368581,96,100,87,0.567,1,0.0277777777777778
"4","42101000401",2125,7.7,19.6,22.6,26.3,76.3,5.7,8.9,4.8,71.3,78.9,71.5,3.9,42.9,32.2,13.3,67.7,9.2,28.2,2.5,18.5,81.3,10.4,21.6,81.4,8.7,35.7,2.5,9.2,2010,2125,1049,376,519,107,49.36470588,17.69411765,24.42352941,5.03529412,-0.74394122,-1.87442882,-1.55490058,"0",74,28.11550152,20,7.59878419,21.27659574,46.68639053,30,18.46504559,60,39.9541366083,-75.1765601839,99,100,92,0.597,NA,NA
"5","42101000402",3142,5.8,29,19,31.6,82.1,10.7,8.4,7,76.6,85.3,77.9,5,52.6,37.8,9.9,77.9,9,33.8,3,17.7,80,8.4,19.7,81.7,9.2,29.9,3.1,6.4,2010,3142,2455,173,356,109,78.13494589,5.5060471,11.33036283,3.46912794,-0.43265794,-0.85584806,0.23211286,"0",199,59.46011627,45.75,13.80869973,18.90799236,55.518204965,172,3.624678665,NA,39.9532973239,-75.1686952355,99,100,78,0.458,NA,NA
"6","42101000500",2329,15.1,13.9,26.2,23.9,58.5,2.7,9.8,3.4,66.7,70.1,56.3,4.3,38.3,27.3,24.9,49.8,7.5,22.1,2,25.8,81,15.5,30.8,78,11,44,2.1,18.9,2010,2329,750,870,340,306,32.20266209,37.35508802,14.59854015,13.13868613,1.89653543,-2.14378573,-1.11769032,"0",148,58.87032617,23.75,9.44709626,13.82823872,30.22508039,145,34.82781027,79,39.9519533967,-75.1581776292,99,100,75,0.389,NA,NA
"7","42101000600",1781,6.3,7.8,32.8,10.8,43.8,2.1,9.7,1.3,64.9,70.2,69.8,1.8,50.5,38.8,11.7,74.9,2.3,13.4,1,12.8,82.8,11.9,17.9,82.1,5,33.7,0.7,6.7,2010,1781,1151,253,160,142,64.62661426,14.20550253,8.98371701,7.97304885,1.09714782,-4.32954264,-3.31832901,"0",133,110.1905551,24,19.88400994,15.2866242,46.884273,101,13.8671875,NA,39.9493844763,-75.1583354851,99,100,86,0.502,1,0.0277777777777778
"8","42101000700",3082,6.1,15.3,26.7,19.1,67.1,4.7,8.9,3.3,67.7,75.9,73.6,3,49.8,35.7,12.1,72.5,5.3,22.6,1.8,15.5,82.1,10.7,20.6,83.2,7,33.7,1.6,6.7,2010,3082,2112,281,463,142,68.52693056,9.1174562,15.02271252,4.60739779,-0.74346507,-2.72198568,-2.12769833,"0",229,65.8592349366667,60.75,18.6213225133333,22.29321467,44.7356188566667,137,18.5785241633333,NA,39.9511736644,-75.1727351974,99,100,93,0.496,NA,NA
"9","42101000801",1562,5.2,13.5,30.1,16.2,61.4,4.1,8.4,2.4,66,78,75.2,2.4,54.2,40.9,11.2,77.6,4.1,21.2,1.4,13.3,83.3,9.7,20.2,85.4,6.1,32.7,1.1,4.3,2010,1562,1219,46,169,90,78.04097311,2.94494238,10.81946223,5.76184379,-0.52115766,-4.21202411,-3.87779736,"0",32,22.74342573,13.5,9.59488273,29.67032967,63.86449184,6,13.85927505,NA,39.9500599666,-75.1800508587,92,100,98,0.489,NA,NA
"10","42101000803",3601,4.6,19.4,25.8,21.9,73.7,6.8,8.2,4.1,70.4,81.5,78.4,3,54.5,40.9,9.3,79.9,5.8,26.7,2,13.6,81.8,8.6,19,84.8,6.7,30.5,1.8,4.2,2010,3601,2891,74,441,122,80.28325465,2.05498473,12.24659817,3.38794779,-0.30864287,-2.33705469,-1.79589436,"0",246,97.938031445,68.75,27.04588681,22.5060106475,37.514716675,30,11.7319107375,NA,39.9493747801,-75.1742488768,98,100,98,0.58,NA,NA
