"","StateAbbr","PlaceName","PlaceFIPS","TractFIPS","Place_TractID","Population2010","ACCESS2_CrudePrev","ACCESS2_Crude95CI","ARTHRITIS_CrudePrev","ARTHRITIS_Crude95CI","BINGE_CrudePrev","BINGE_Crude95CI","BPHIGH_CrudePrev","BPHIGH_Crude95CI","BPMED_CrudePrev","BPMED_Crude95CI","CANCER_CrudePrev","CANCER_Crude95CI","CASTHMA_CrudePrev","CASTHMA_Crude95CI","CHD_CrudePrev","CHD_Crude95CI","CHECKUP_CrudePrev","CHECKUP_Crude95CI","CHOLSCREEN_CrudePrev","CHOLSCREEN_Crude95CI","COLON_SCREEN_CrudePrev","COLON_SCREEN_Crude95CI","COPD_CrudePrev","COPD_Crude95CI","COREM_CrudePrev","COREM_Crude95CI","COREW_CrudePrev","COREW_Crude95CI","CSMOKING_CrudePrev","CSMOKING_Crude95CI","DENTAL_CrudePrev","DENTAL_Crude95CI","DIABETES_CrudePrev","DIABETES_Crude95CI","HIGHCHOL_CrudePrev","HIGHCHOL_Crude95CI","KIDNEY_CrudePrev","KIDNEY_Crude95CI","LPA_CrudePrev","LPA_Crude95CI","MAMMOUSE_CrudePrev","MAMMOUSE_Crude95CI","MHLTH_CrudePrev","MHLTH_Crude95CI","OBESITY_CrudePrev","OBESITY_Crude95CI","PAPTEST_CrudePrev","PAPTEST_Crude95CI","PHLTH_CrudePrev","PHLTH_Crude95CI","SLEEP_CrudePrev","SLEEP_Crude95CI","STROKE_CrudePrev","STROKE_Crude95CI","TEETHLOST_CrudePrev","TEETHLOST_Crude95CI","Geolocation"
"1","PA","Philadelphia",4260000,42101000100,"4260000-42101000100",3478,5.4,"( 4.3,  7.5)",13,"(12.3, 13.9)",33.1,"(31.8, 34.3)",15.6,"(14.9, 16.6)",58.9,"(57.2, 60.5)",3.8,"( 3.7,  4.0)",8.8,"( 8.3,  9.5)",2.1,"( 1.9,  2.3)",65.3,"(64.0, 66.5)",77.6,"(74.7, 79.5)",74.2,"(71.1, 76.5)",2.4,"( 2.0,  3.0)",52.5,"(46.8, 57.7)",37.1,"(33.2, 40.7)",13,"(10.1, 17.9)",77.3,"(72.8, 80.2)",3.8,"( 3.5,  4.1)",19.9,"(19.3, 20.6)",1.3,"( 1.3,  1.4)",13.4,"(11.7, 16.2)",82.7,"(80.1, 84.7)",10.2,"( 9.0, 12.3)",20.7,"(19.5, 22.4)",85.7,"(82.6, 87.6)",6.1,"( 5.3,  7.3)",33.4,"(31.6, 35.5)",1.1,"( 1.0,  1.2)",5.5,"( 3.6,  8.6)","(39.95238276040, -75.1466628627)"
"2","PA","Philadelphia",4260000,42101000200,"4260000-42101000200",2937,14.8,"(11.8, 18.0)",18.2,"(17.3, 19.2)",16.5,"(15.9, 17.1)",28.8,"(27.7, 29.8)",73,"(71.7, 74.2)",3.6,"( 3.4,  3.7)",8.6,"( 8.0,  9.2)",5.9,"( 5.3,  6.4)",69,"(68.2, 69.9)",71.3,"(68.8, 73.6)",52.4,"(47.8, 56.5)",5.4,"( 4.6,  6.2)",34,"(27.3, 40.5)",24.4,"(18.9, 30.3)",23.7,"(20.3, 27.8)",52.5,"(47.6, 57.3)",13.4,"(12.5, 14.3)",30.8,"(29.9, 31.8)",3,"( 2.8,  3.2)",31.7,"(28.8, 35.1)",76.9,"(72.0, 80.7)",15.1,"(13.5, 17.0)",23.4,"(22.5, 24.4)",72.5,"(67.9, 76.5)",13.8,"(12.3, 15.4)",42.4,"(40.7, 44.1)",3.3,"( 2.9,  3.7)",14.5,"( 7.4, 22.6)","(39.95539990180, -75.1569774999)"
"3","PA","Philadelphia",4260000,42101000300,"4260000-42101000300",3169,6.2,"( 5.0,  7.8)",18.2,"(17.4, 19.0)",26.7,"(26.0, 27.4)",21.8,"(21.1, 22.6)",70.6,"(69.4, 71.7)",5.7,"( 5.5,  6.0)",9,"( 8.6,  9.6)",3.8,"( 3.5,  4.3)",69.4,"(68.7, 70.2)",79.2,"(77.2, 80.7)",73.9,"(71.1, 75.9)",3.4,"( 2.9,  4.0)",50.5,"(44.0, 56.2)",35.1,"(30.6, 39.1)",12.9,"(10.6, 15.8)",75.3,"(72.2, 77.9)",6.1,"( 5.7,  6.6)",25,"(24.4, 25.8)",2,"( 1.9,  2.1)",16.1,"(14.5, 17.9)",81.9,"(79.4, 83.7)",10.5,"( 9.4, 11.9)",21.4,"(20.5, 22.4)",83.7,"(81.4, 85.4)",7.7,"( 6.9,  8.6)",33.6,"(32.3, 35.2)",1.9,"( 1.7,  2.2)",6.8,"( 4.3, 10.8)","(39.95710584440, -75.1709368581)"
"4","PA","Philadelphia",4260000,42101000401,"4260000-42101000401",2125,7.7,"( 5.8, 10.1)",19.6,"(18.9, 20.5)",22.6,"(22.0, 23.3)",26.3,"(25.6, 27.2)",76.3,"(75.0, 77.3)",5.7,"( 5.5,  5.8)",8.9,"( 8.3,  9.6)",4.8,"( 4.4,  5.3)",71.3,"(70.6, 72.1)",78.9,"(76.5, 80.7)",71.5,"(68.5, 74.1)",3.9,"( 3.2,  4.6)",42.9,"(38.2, 47.0)",32.2,"(28.6, 35.6)",13.3,"(10.6, 17.2)",67.7,"(63.2, 71.4)",9.2,"( 8.7,  9.9)",28.2,"(27.6, 29.1)",2.5,"( 2.3,  2.6)",18.5,"(16.6, 21.0)",81.3,"(78.8, 83.4)",10.4,"( 9.1, 12.2)",21.6,"(20.7, 22.7)",81.4,"(78.0, 84.0)",8.7,"( 7.6,  9.9)",35.7,"(34.2, 37.3)",2.5,"( 2.3,  2.8)",9.2,"( 6.0, 13.1)","(39.95413660830, -75.1765601839)"
"5","PA","Philadelphia",4260000,42101000402,"4260000-42101000402",3142,5.8,"( 4.7,  7.2)",29,"(27.5, 30.8)",19,"(18.6, 19.5)",31.6,"(30.3, 33.3)",82.1,"(81.1, 83.1)",10.7,"(10.0, 11.6)",8.4,"( 8.0,  8.9)",7,"( 6.1,  8.1)",76.6,"(76.0, 77.1)",85.3,"(84.2, 86.2)",77.9,"(75.4, 79.9)",5,"( 4.0,  6.4)",52.6,"(46.2, 58.6)",37.8,"(32.4, 42.8)",9.9,"( 8.1, 12.0)",77.9,"(74.4, 80.5)",9,"( 8.2, 10.2)",33.8,"(32.7, 34.7)",3,"( 2.8,  3.4)",17.7,"(15.6, 20.6)",80,"(76.7, 82.5)",8.4,"( 7.6,  9.5)",19.7,"(18.7, 20.9)",81.7,"(78.8, 83.9)",9.2,"( 8.0, 11.0)",29.9,"(28.7, 31.6)",3.1,"( 2.6,  3.7)",6.4,"( 3.8, 11.2)","(39.95329732390, -75.1686952355)"
"6","PA","Philadelphia",4260000,42101000500,"4260000-42101000500",2329,15.1,"(12.3, 17.8)",13.9,"(13.2, 14.7)",26.2,"(25.5, 26.9)",23.9,"(22.8, 25.0)",58.5,"(57.3, 59.8)",2.7,"( 2.6,  2.8)",9.8,"( 9.2, 10.5)",3.4,"( 3.1,  3.7)",66.7,"(65.9, 67.5)",70.1,"(67.8, 72.5)",56.3,"(53.3, 59.2)",4.3,"( 3.7,  4.9)",38.3,"(33.6, 42.6)",27.3,"(22.6, 32.1)",24.9,"(21.1, 29.1)",49.8,"(45.5, 54.3)",7.5,"( 7.0,  8.0)",22.1,"(21.4, 22.7)",2,"( 1.9,  2.2)",25.8,"(23.2, 28.5)",81,"(78.7, 83.0)",15.5,"(13.9, 17.3)",30.8,"(29.4, 32.2)",78,"(75.2, 80.7)",11,"( 9.8, 12.3)",44,"(42.3, 45.5)",2.1,"( 1.9,  2.3)",18.9,"(13.9, 24.4)","(39.95195339670, -75.1581776292)"
"7","PA","Philadelphia",4260000,42101000600,"4260000-42101000600",1781,6.3,"( 5.1,  8.1)",7.8,"( 7.4,  8.3)",32.8,"(31.7, 33.8)",10.8,"(10.3, 11.4)",43.8,"(42.4, 45.1)",2.1,"( 2.1,  2.2)",9.7,"( 9.1, 10.5)",1.3,"( 1.2,  1.4)",64.9,"(63.7, 65.9)",70.2,"(67.5, 72.2)",69.8,"(67.4, 71.8)",1.8,"( 1.5,  2.2)",50.5,"(45.0, 55.6)",38.8,"(33.6, 43.2)",11.7,"( 9.4, 15.0)",74.9,"(70.8, 77.8)",2.3,"( 2.2,  2.5)",13.4,"(13.0, 13.8)",1,"( 1.0,  1.1)",12.8,"(11.3, 14.9)",82.8,"(80.5, 84.6)",11.9,"(10.5, 14.0)",17.9,"(16.9, 19.2)",82.1,"(79.1, 84.2)",5,"( 4.5,  5.8)",33.7,"(32.0, 35.9)",0.7,"( 0.6,  0.7)",6.7,"( 4.4, 10.1)","(39.94938447630, -75.1583354851)"
"8","PA","Philadelphia",4260000,42101000700,"4260000-42101000700",3082,6.1,"( 5.2,  7.8)",15.3,"(14.8, 16.0)",26.7,"(26.0, 27.5)",19.1,"(18.6, 19.8)",67.1,"(65.9, 68.1)",4.7,"( 4.6,  4.9)",8.9,"( 8.5,  9.5)",3.3,"( 3.1,  3.6)",67.7,"(67.0, 68.5)",75.9,"(73.9, 77.1)",73.6,"(71.3, 75.3)",3,"( 2.6,  3.5)",49.8,"(44.3, 54.8)",35.7,"(31.3, 40.0)",12.1,"(10.3, 15.3)",72.5,"(68.9, 74.7)",5.3,"( 5.0,  5.7)",22.6,"(22.1, 23.2)",1.8,"( 1.7,  1.9)",15.5,"(14.2, 17.4)",82.1,"(79.6, 83.9)",10.7,"( 9.8, 12.3)",20.6,"(19.7, 21.6)",83.2,"(80.7, 84.8)",7,"( 6.4,  7.9)",33.7,"(32.5, 35.2)",1.6,"( 1.4,  1.8)",6.7,"( 4.5, 11.4)","(39.95117366440, -75.1727351974)"
"9","PA","Philadelphia",4260000,42101000801,"4260000-42101000801",1562,5.2,"( 4.4,  6.9)",13.5,"(12.9, 14.1)",30.1,"(29.1, 31.1)",16.2,"(15.6, 16.9)",61.4,"(59.9, 62.6)",4.1,"( 3.9,  4.2)",8.4,"( 8.1,  9.0)",2.4,"( 2.2,  2.7)",66,"(65.0, 67.0)",78,"(76.0, 79.1)",75.2,"(72.5, 77.2)",2.4,"( 2.1,  2.8)",54.2,"(47.3, 60.2)",40.9,"(34.7, 46.5)",11.2,"( 9.6, 14.5)",77.6,"(74.1, 79.7)",4.1,"( 3.9,  4.4)",21.2,"(20.6, 21.8)",1.4,"( 1.3,  1.5)",13.3,"(12.2, 15.1)",83.3,"(80.6, 85.4)",9.7,"( 9.0, 11.3)",20.2,"(19.3, 21.4)",85.4,"(83.2, 87.0)",6.1,"( 5.5,  6.9)",32.7,"(31.5, 34.4)",1.1,"( 1.0,  1.3)",4.3,"( 3.1,  7.7)","(39.95005996660, -75.1800508587)"
"10","PA","Philadelphia",4260000,42101000803,"4260000-42101000803",3601,4.6,"( 4.1,  5.6)",19.4,"(18.7, 20.2)",25.8,"(24.9, 26.6)",21.9,"(21.2, 22.7)",73.7,"(72.5, 74.8)",6.8,"( 6.6,  7.0)",8.2,"( 7.9,  8.6)",4.1,"( 3.8,  4.5)",70.4,"(69.6, 71.2)",81.5,"(80.3, 82.3)",78.4,"(76.4, 79.9)",3,"( 2.7,  3.5)",54.5,"(48.7, 59.7)",40.9,"(36.3, 45.5)",9.3,"( 8.1, 11.6)",79.9,"(77.2, 81.4)",5.8,"( 5.4,  6.3)",26.7,"(26.1, 27.4)",2,"( 1.9,  2.1)",13.6,"(12.6, 15.0)",81.8,"(79.5, 84.0)",8.6,"( 8.0,  9.6)",19,"(18.1, 20.0)",84.8,"(82.6, 86.2)",6.7,"( 6.2,  7.4)",30.5,"(29.4, 31.9)",1.8,"( 1.6,  2.0)",4.2,"( 3.2,  6.6)","(39.94937478010, -75.1742488768)"
