TractFIPS,Geolocation,lat,lon,walk_score,transit_score,bike_score
42101000100,"(39.95238276040, -75.1466628627)",39.95238276040, -75.1466628627,99,100,83
42101000200,"(39.95539990180, -75.1569774999)",39.95539990180, -75.1569774999,99,100,81
42101000300,"(39.95710584440, -75.1709368581)",39.95710584440, -75.1709368581,96,100,87
42101000401,"(39.95413660830, -75.1765601839)",39.95413660830, -75.1765601839,99,100,92
42101000402,"(39.95329732390, -75.1686952355)",39.95329732390, -75.1686952355,99,100,78
42101000500,"(39.95195339670, -75.1581776292)",39.95195339670, -75.1581776292,99,100,75
42101000600,"(39.94938447630, -75.1583354851)",39.94938447630, -75.1583354851,99,100,86
42101000700,"(39.95117366440, -75.1727351974)",39.95117366440, -75.1727351974,99,100,93
42101000801,"(39.95005996660, -75.1800508587)",39.95005996660, -75.1800508587,92,100,98
42101000803,"(39.94937478010, -75.1742488768)",39.94937478010, -75.1742488768,98,100,98
42101000804,"(39.94856456540, -75.1677563238)",39.94856456540, -75.1677563238,100,100,88
42101000901,"(39.94788664450, -75.1623004239)",39.94788664450, -75.1623004239,100,100,90
42101000902,"(39.94715954610, -75.1566388733)",39.94715954610, -75.1566388733,97,100,87
42101001001,"(39.94567226110, -75.1516019404)",39.94567226110, -75.1516019404,97,100,84
42101001002,"(39.94500453800, -75.1466193030)",39.94500453800, -75.1466193030,98,96,87
42101001101,"(39.94499176360, -75.1625240137)",39.94499176360, -75.1625240137,97,100,92
42101001102,"(39.94426542970, -75.1566960284)",39.94426542970, -75.1566960284,97,100,88
42101001201,"(39.94713672810, -75.1802279195)",39.94713672810, -75.1802279195,97,93,100
42101001202,"(39.94591163600, -75.1699475320)",39.94591163600, -75.1699475320,100,100,89
42101001300,"(39.94283179630, -75.1845558386)",39.94283179630, -75.1845558386,87,79,99
42101001400,"(39.94294360200, -75.1715930244)",39.94294360200, -75.1715930244,98,100,89
42101001500,"(39.94190368220, -75.1591158170)",39.94190368220, -75.1591158170,97,100,90
42101001600,"(39.94025463230, -75.1483127377)",39.94025463230, -75.1483127377,99,65,84
42101001700,"(39.93775926180, -75.1483114374)",39.93775926180, -75.1483114374,97,64,85
42101001800,"(39.93999977040, -75.1593091885)",39.93999977040, -75.1593091885,97,78,90
